0, 0.6105757981464074, ('Buoy', nan, nan), ('boat', 0.02806528662420383, 0.8945395405517743), ('Buoy', 0.0), ('boat', 0.04815592304314371), 0, 0
1, 0.5073970798302749, ('Buoy', nan, nan), ('boat', 0.003184713375796179, 1.0), ('Buoy', 0.0), ('boat', 0.004777070063694267), 0, 0
2, 0.43392863570262646, ('Buoy', 0.006263048016701461, 1.0), ('boat', 0.12540019546388972, 0.8829736400499691), ('Buoy', 0.01183020180932498), ('boat', 0.2018409959251258), 0.01183020180932498, 0.2018409959251258
3, 0.4275698429514159, ('Buoy', 0.02052887961029923, 1.0), ('boat', 0.08506690819844562, 0.9812433255245375), ('Buoy', 0.04036186499652053), ('boat', 0.1645010684896717), 0.01183020180932498, 0.2018409959251258
4, 0.38993662301064363, ('Buoy', 0.02922755741127349, 1.0), ('boat', 0.13328580950970223, 0.981124531081551), ('Buoy', 0.05775922059846903), ('boat', 0.24185093217640197), 0.01183020180932498, 0.2018409959251258
5, 0.31816215671667103, ('Buoy', 0.004871259568545581, 1.0), ('boat', 0.09876433121019108, 0.9909800840783709), ('Buoy', 0.009046624913013222), ('boat', 0.1865729168311511), 0.01183020180932498, 0.2018409959251258
6, 0.3257502188142953, ('Buoy', 0.03235151735197119, 0.9998818525519849), ('boat', 0.13815718449746303, 0.9855158239359367), ('Buoy', 0.06332637439109255), ('boat', 0.2580806029824956), 0.01183020180932498, 0.2018409959251258
7, 0.3172518859512313, ('Buoy', 0.05000289955926699, 0.995066706693433), ('boat', 0.14672542094973828, 0.8983993581506573), ('Buoy', 0.09700009283410732), ('boat', 0.2623737359665617), 0.01183020180932498, 0.2018409959251258
8, 0.29480710396084314, ('Buoy', 0.03045937017573329, 0.9970171552535475), ('boat', 0.162664851864577, 0.8424450614439041), ('Buoy', 0.05969492637119159), ('boat', 0.2685480681744512), 0.01183020180932498, 0.2018409959251258
9, 0.2895614646876843, ('Buoy', 0.06470311647764675, 0.9998821666249572), ('boat', 0.1443270105690488, 0.994703967925071), ('Buoy', 0.1280332524591397), ('boat', 0.2774315989241323), 0.01183020180932498, 0.2018409959251258
10, 0.256109383313463, ('Buoy', 0.048712595685455815, 1.0), ('boat', 0.10612999209633175, 0.9756400453306525), ('Buoy', 0.09672929714683368), ('boat', 0.20591515804572041), 0.01183020180932498, 0.2018409959251258
11, 0.25228498176503955, ('Buoy', 0.04836464857341683, 1.0), ('boat', 0.1465468369626838, 0.9726712950676188), ('Buoy', 0.09603340292275574), ('boat', 0.2666610652386041), 0.01183020180932498, 0.2018409959251258
12, 0.25933496582016446, ('Buoy', 0.05184411969380654, 1.0), ('boat', 0.14204179489014526, 0.9981306917237388), ('Buoy', 0.10299234516353514), ('boat', 0.27822663676050563), 0.01183020180932498, 0.2018409959251258
13, 0.25101227534020437, ('Buoy', 0.06226298546441166, 0.9998403880596903), ('boat', 0.12437092081465755, 0.967519490817684), ('Buoy', 0.12315763958934423), ('boat', 0.23162300470750005), 0.01183020180932498, 0.2018409959251258
14, 0.2440680878254135, ('Buoy', 0.048268837049811913, 0.9989307738504634), ('boat', 0.14984914515588332, 0.9919446495437518), ('Buoy', 0.09524673988684154), ('boat', 0.2802479639794866), 0.01183020180932498, 0.2018409959251258
15, 0.21871305445356903, ('Buoy', 0.0754489153265142, 0.9918492864335818), ('boat', 0.1449827712227211, 0.9942523193748639), ('Buoy', 0.14244902940530207), ('boat', 0.27891867608767473), 0.01183020180932498, 0.2018409959251258
16, 0.21968002779667767, ('Buoy', 0.07356030698499703, 0.9985228700209299), ('boat', 0.14216703642739567, 0.9987064467885558), ('Buoy', 0.14387294027582043), ('boat', 0.278360893487861), 0.01183020180932498, 0.2018409959251258
17, 0.21106429277850963, ('Buoy', 0.06539545026589114, 0.9998560870627491), ('boat', 0.1515420717398592, 0.9981519848294679), ('Buoy', 0.1287329487208267), ('boat', 0.29571581792006957), 0.01183020180932498, 0.2018409959251258
18, 0.21732819198908998, ('Buoy', 0.07611382436385507, 0.9916257331851462), ('boat', 0.1515419862212401, 0.9799278049024205), ('Buoy', 0.1438026227510124), ('boat', 0.27747562081490407), 0.01183020180932498, 0.2018409959251258
19, 0.1953157743439916, ('Buoy', 0.07227597559017183, 0.996625898498533), ('boat', 0.17207020037724502, 0.9491017809597104), ('Buoy', 0.14017000391464485), ('boat', 0.2882869580200461), 0.01183020180932498, 0.2018409959251258
20, 0.19277952571639695, ('Buoy', 0.07810334952980953, 0.9937895513339469), ('boat', 0.14166724994750476, 0.9823511157143895), ('Buoy', 0.14756571058664483), ('boat', 0.26377315410562197), 0.01183020180932498, 0.2018409959251258
21, 0.19601266427556346, ('Buoy', 0.07444767460766526, 0.9974473770172125), ('boat', 0.14743349569127015, 0.9916871421097816), ('Buoy', 0.14309845972032947), ('boat', 0.2769247961463442), 0.01183020180932498, 0.2018409959251258
22, 0.18025121958742454, ('Buoy', 0.07652351128342778, 0.9863476478927717), ('boat', 0.18718888829417116, 0.9908609568689328), ('Buoy', 0.14447192984455123), ('boat', 0.3540511947546374), 0.01183020180932498, 0.2018409959251258
23, 0.1667596557084982, ('Buoy', 0.07479082714311144, 0.9973314532000527), ('boat', 0.18667497461460356, 0.8995755040106609), ('Buoy', 0.14579951133517138), ('boat', 0.2916397713624933), 0.01183020180932498, 0.2018409959251258
24, 0.16011469711668552, ('Buoy', 0.07408845948439091, 0.9919807802144733), ('boat', 0.19794265094088298, 0.9575979729533122), ('Buoy', 0.1397090404274891), ('boat', 0.3457704046305924), 0.01183020180932498, 0.2018409959251258
25, 0.17572407151183086, ('Buoy', 0.07648510153729358, 0.9970249422274274), ('boat', 0.16657402956375433, 0.989200446032574), ('Buoy', 0.14787816951893837), ('boat', 0.3141516002869958), 0.01183020180932498, 0.2018409959251258
26, 0.15762304656489767, ('Buoy', 0.07627756418128516, 0.9930331050653924), ('boat', 0.20102784612200786, 0.93983276734675), ('Buoy', 0.14399716197680512), ('boat', 0.3308231242563815), 0.01183020180932498, 0.2018409959251258
27, 0.17508452239307382, ('Buoy', 0.08132062671243846, 0.9847776426229333), ('boat', 0.1692682299848619, 0.9698041311725263), ('Buoy', 0.15121062572761024), ('boat', 0.3032443793399944), 0.01183020180932498, 0.2018409959251258
28, 0.13639904931276192, ('Buoy', 0.07457988607953812, 0.9927986228409332), ('boat', 0.19961482182819762, 0.8948850229534029), ('Buoy', 0.14450597478971514), ('boat', 0.308602496067909), 0.01183020180932498, 0.2018409959251258
29, 0.14958042286361092, ('Buoy', 0.09417433532052585, 0.9851724619178129), ('boat', 0.2003463224431474, 0.9733228426390467), ('Buoy', 0.17153987874883186), ('boat', 0.34549332292236384), 0.01183020180932498, 0.2018409959251258
30, 0.14323739701551527, ('Buoy', 0.07881156046581805, 0.9988282159836078), ('boat', 0.21712314225053078, 0.9434051528043282), ('Buoy', 0.1550257665201592), ('boat', 0.3533514823592717), 0.01183020180932498, 0.2018409959251258
31, 0.15340446493803495, ('Buoy', 0.07924234143019704, 0.983082331502682), ('boat', 0.1629686936666266, 0.9777782566771854), ('Buoy', 0.14824033725005034), ('boat', 0.29307271073681235), 0.01183020180932498, 0.2018409959251258
